freq,real,imag
1.0060829005e+03,6.1107174191e-03,9.7117884155e-05
1.3543423660e+03,6.1009170264e-03,1.1971698954e-04
1.7606450758e+03,6.1183632700e-03,1.6559329065e-04
2.3991207627e+03,6.1036656026e-03,2.0532070956e-04
3.1536829380e+03,6.1025589255e-03,2.6804586745e-04
4.1984613347e+03,6.0936727220e-03,3.4748248872e-04
5.6495424412e+03,6.1028818957e-03,4.7356054728e-04
7.5069262574e+03,6.0706233071e-03,5.9261805310e-04
1.0002785761e+04,6.1024378701e-03,8.2027005768e-04
1.3311250683e+04,6.1020436223e-03,1.0934016940e-03
1.7780580491e+04,6.0645776820e-03,1.4350384603e-03
2.3700991406e+04,6.0581206864e-03,1.9309828869e-03
3.1594872625e+04,6.1022840195e-03,2.6155691713e-03
4.2158743080e+04,6.1203945056e-03,3.4913116877e-03
5.6205208190e+04,6.1378773150e-03,4.6735008749e-03
7.5011219330e+04,6.1564613113e-03,6.2850018761e-03
9.9435494112e+04,6.2398404364e-03,8.2736906129e-03
1.0002785761e+05,6.2112857483e-03,8.4788926528e-03
1.2209168264e+05,6.2873009580e-03,1.0103811335e-02
1.4852390260e+05,6.3754189383e-03,1.2360193053e-02
1.7873215397e+05,5.9594090184e-03,1.4516717759e-02
2.1649246819e+05,6.6748681078e-03,1.8121032100e-02
2.6180484526e+05,6.9422939644e-03,2.2045227580e-02
3.1466928516e+05,7.1356820933e-03,2.6563342440e-02
3.8263785076e+05,7.9884789020e-03,3.2974086081e-02
4.6571054204e+05,8.9859398350e-03,4.0983020602e-02
5.6388735901e+05,1.0587453151e-02,5.1198308535e-02
6.8094433309e+05,1.2833226803e-02,6.4255587567e-02
8.2443352713e+05,1.8201294795e-02,8.3829544904e-02
9.9813097254e+05,2.8093058500e-02,1.1344042182e-01
1.2133647636e+06,5.5263900498e-02,1.6705541068e-01
1.4663588689e+06,1.5318392281e-01,2.6880020561e-01
1.7797694769e+06,6.4506128024e-01,1.0629841001e-01
2.1535965877e+06,2.0229192794e-01,-3.1406456660e-01
2.6104963897e+06,5.6003239089e-02,-1.8830741059e-01
3.1617969773e+06,2.4315176747e-02,-1.2566395078e-01
3.8301545390e+06,1.3402290327e-02,-9.1124723519e-02
4.6420012947e+06,8.3782792875e-03,-6.9260777938e-02
5.6237694644e+06,5.7891689067e-03,-5.4185011158e-02
6.8132193624e+06,4.3065927184e-03,-4.3136945499e-02
8.2556633655e+06,3.3981339979e-03,-3.4701603921e-02
9.9435494112e+06,2.8259808512e-03,-2.8929877250e-02
1.0000189882e+07,2.8111414969e-03,-2.8097860480e-02
1.2209168264e+07,2.4304516226e-03,-2.3425518171e-02
1.4852390260e+07,2.1596864813e-03,-1.9243820218e-02
1.7873215397e+07,1.9446960498e-03,-1.6025139391e-02
2.1649246819e+07,1.7209445115e-03,-1.3267756945e-02
2.6180484526e+07,1.5816915997e-03,-1.1049926232e-02
3.1466928516e+07,1.4675385787e-03,-9.2565716870e-03
3.8263785076e+07,1.3539983355e-03,-7.6742430827e-03
4.6571054204e+07,1.2346212871e-03,-6.3471819858e-03
5.6388735901e+07,1.1660891187e-03,-5.2702739005e-03
6.8094433309e+07,1.1101385668e-03,-4.3862144701e-03
8.2443352713e+07,1.0634661446e-03,-3.6355056976e-03
9.9813097254e+07,1.0242503376e-03,-3.0124493629e-03
1.2133647636e+08,1.0042671920e-03,-2.4815327234e-03
1.4663588689e+08,9.8366012289e-04,-2.0580023366e-03
1.7797694769e+08,9.7484023547e-04,-1.6960870912e-03
2.1535965877e+08,9.6592341276e-04,-1.4048420274e-03
2.6104963897e+08,9.6020839616e-04,-1.1601733591e-03
3.1617969773e+08,9.5630506082e-04,-9.5903464319e-04
3.8301545390e+08,9.5360784812e-04,-7.9290384761e-04
4.6420012947e+08,9.5176215366e-04,-6.5565286670e-04
