freq,real,imag
1.0060829005e+03,3.0090120414e-03,2.7131813586e-04
1.3543423660e+03,3.0063787765e-03,3.2190284598e-04
1.7606450758e+03,2.8523425835e-03,2.0378737887e-04
2.3991207627e+03,3.6681427253e-03,2.3527044187e-04
3.1536829380e+03,3.2910643660e-03,3.6903504457e-04
4.1984613347e+03,3.4197606378e-03,3.4356338278e-04
5.6495424412e+03,3.4872860146e-03,5.0205235620e-04
7.5069262574e+03,1.4347651648e-03,-4.4919284639e-04
1.0002785761e+04,3.2176084910e-03,8.3409052982e-04
1.3311250683e+04,2.7889988903e-03,9.6469472582e-04
1.7780580491e+04,1.2786855431e-03,2.6899087217e-04
2.3700991406e+04,1.2027288269e-03,7.1433994862e-04
3.1594872625e+04,3.0063967605e-03,2.4615727782e-03
4.2158743080e+04,2.8412462408e-03,3.3285847406e-03
5.6205208190e+04,3.1146762759e-03,4.4288966954e-03
7.5011219330e+04,3.0394591897e-03,6.0004737402e-03
9.9435494112e+04,3.5236097582e-03,7.7802658902e-03
1.0002785761e+05,3.2484926548e-03,8.0619676214e-03
1.2209168264e+05,3.4943621980e-03,8.9949161002e-03
1.4852390260e+05,4.7092510928e-03,1.1705222743e-02
1.7873215397e+05,3.7035024966e-03,1.1821632459e-02
2.1649246819e+05,4.1697408291e-03,1.4913081742e-02
2.6180484526e+05,7.0494486639e-03,1.8403525393e-02
3.1466928516e+05,5.7599982964e-03,2.3105542418e-02
3.8263785076e+05,1.3793200452e-02,3.2650912934e-02
4.6571054204e+05,1.5847677722e-02,4.3236686714e-02
5.6388735901e+05,2.9903350761e-02,5.3903854565e-02
6.8094433309e+05,4.5839349024e-02,7.2454304495e-02
8.2443352713e+05,1.0819591683e-01,6.9307868491e-02
9.9813097254e+05,1.4284468219e-01,-2.1221807413e-02
1.2133647636e+06,7.9925465785e-02,-7.5631392540e-02
1.4663588689e+06,3.8030505072e-02,-6.7136787617e-02
1.7797694769e+06,1.9921068514e-02,-5.1762059027e-02
2.1535965877e+06,1.1065178874e-02,-4.0700157117e-02
2.6104963897e+06,6.6790490436e-03,-3.1447296985e-02
3.1617969773e+06,4.2504376731e-03,-2.5051011836e-02
3.8301545390e+06,2.9742169502e-03,-2.0124955820e-02
4.6420012947e+06,2.1138785104e-03,-1.6325404179e-02
5.6237694644e+06,1.5677399800e-03,-1.3297695059e-02
6.8132193624e+06,1.2043674877e-03,-1.0876415236e-02
8.2556633655e+06,9.5956371588e-04,-8.9063650759e-03
9.9435494112e+06,7.8184959572e-04,-7.5092534981e-03
1.0000189882e+07,7.9193745512e-04,-7.2976550408e-03
1.2209168264e+07,6.7546118975e-04,-6.1392053350e-03
1.4852390260e+07,6.0141940020e-04,-5.0762611175e-03
1.7873215397e+07,5.3683524825e-04,-4.2424685072e-03
2.1649246819e+07,4.5825035529e-04,-3.5133461218e-03
2.6180484526e+07,4.2276131467e-04,-2.9340815745e-03
3.1466928516e+07,3.9551471599e-04,-2.4608673914e-03
3.8263785076e+07,3.6562274222e-04,-2.0440993262e-03
4.6571054204e+07,3.2595137525e-04,-1.6915352848e-03
5.6388735901e+07,3.0980481198e-04,-1.4049221991e-03
6.8094433309e+07,2.9556405861e-04,-1.1708043601e-03
8.2443352713e+07,2.8215560194e-04,-9.7088905523e-04
9.9813097254e+07,2.6933308598e-04,-8.0573201410e-04
1.2133647636e+08,2.6519203560e-04,-6.6382429764e-04
1.4663588689e+08,2.5812457014e-04,-5.5172011549e-04
1.7797694769e+08,2.5671352606e-04,-4.5505465852e-04
2.1535965877e+08,2.5394044608e-04,-3.7848054489e-04
2.6104963897e+08,2.5234648746e-04,-3.1378916701e-04
3.1617969773e+08,2.5123496043e-04,-2.6083797151e-04
3.8301545390e+08,2.5048578415e-04,-2.1742455503e-04
4.6420012947e+08,2.4996568744e-04,-1.8198697167e-04
