freq,real,imag
1.1802126333e+03,2.3358579476e+01,5.6580349820e-02
1.5284720988e+03,2.3354324852e+01,6.8823784922e-02
2.0508612971e+03,2.3354055742e+01,9.2313872555e-02
2.7473802282e+03,2.3364261005e+01,1.2348895172e-01
3.6760721364e+03,2.3359457715e+01,1.6844613751e-01
4.8949802658e+03,2.3359799642e+01,2.1676828089e-01
6.5201911050e+03,2.3359150266e+01,2.9638713201e-01
8.6677911426e+03,2.3363114709e+01,3.8964499855e-01
1.1569953356e+04,2.3356830050e+01,5.2307492141e-01
1.5400807477e+04,2.3355412921e+01,6.9540624616e-01
2.0508612971e+04,2.3353305079e+01,9.1885120372e-01
2.7357715794e+04,2.3349380137e+01,1.2274265343e+00
3.6528548387e+04,2.3342139857e+01,1.6489346762e+00
4.8717629681e+04,2.3330117221e+01,2.2033283040e+00
6.4911694829e+04,2.3304391222e+01,2.9434478804e+00
8.6619868182e+04,2.3267034398e+01,3.9579486741e+00
1.1076358838e+05,2.3521325974e+01,4.9764117184e+00
1.3341977691e+05,2.3557411795e+01,5.9529618719e+00
1.5985199686e+05,2.3687243206e+01,7.2030876377e+00
1.9761231108e+05,2.3729893811e+01,8.8078819211e+00
2.3537262530e+05,2.4059240757e+01,1.0673541252e+01
2.8823706521e+05,2.4447323303e+01,1.3157146461e+01
3.4865356796e+05,2.4990925218e+01,1.6199718599e+01
4.2039816498e+05,2.5744206127e+01,1.9849394996e+01
5.1102291910e+05,2.7065383883e+01,2.4639042789e+01
6.2052783034e+05,2.9069526960e+01,3.0970153349e+01
7.4891289869e+05,3.2487608293e+01,3.9433196431e+01
9.0750621841e+05,3.8525688854e+01,5.1971642922e+01
1.1000838209e+06,5.2087653261e+01,7.1446994675e+01
1.3341977691e+06,8.7952030392e+01,1.0597439545e+02
1.6174001257e+06,2.4032078481e+02,1.3637584519e+02
1.9572429537e+06,2.2931830320e+02,-2.3861187123e+02
2.3726064101e+06,3.1250760111e+01,-1.4862250511e+02
2.8748185893e+06,7.0642666473e+00,-8.9985748855e+01
3.4789836168e+06,2.1554292185e+00,-6.1979741625e+01
4.2153097440e+06,8.5911308605e-01,-4.5696704522e+01
5.1102291910e+06,5.0192845241e-01,-3.5005044830e+01
6.1901741777e+06,4.1918045872e-01,-2.7451998734e+01
7.5004570811e+06,4.2159664367e-01,-2.1789771122e+01
9.0863902784e+06,4.4705622972e-01,-1.7394041906e+01
1.1076358838e+07,4.4950319331e-01,-1.4718955335e+01
1.3341977691e+07,4.6693738679e-01,-1.2116477201e+01
1.5985199686e+07,4.7945005130e-01,-1.0057054825e+01
1.9761231108e+07,4.9233106735e-01,-8.0979501095e+00
2.3537262530e+07,4.8909768072e-01,-6.7819939201e+00
2.8823706521e+07,4.9367724034e-01,-5.5285609546e+00
3.4865356796e+07,4.9605060444e-01,-4.5659978197e+00
4.2039816498e+07,4.9732754391e-01,-3.7844119878e+00
5.1102291910e+07,4.9799672959e-01,-3.1118623344e+00
6.2052783034e+07,5.0076891511e-01,-2.5630105139e+00
7.4891289869e+07,4.9838532449e-01,-2.1217889616e+00
9.0750621841e+07,5.0023437642e-01,-1.7508893851e+00
1.1000838209e+08,4.9835012930e-01,-1.4428291660e+00
1.3341977691e+08,5.0011953641e-01,-1.1876556626e+00
1.6174001257e+08,4.9913625364e-01,-9.7922256077e-01
1.9572429537e+08,4.9888339816e-01,-8.0649275445e-01
2.3726064101e+08,4.9783947397e-01,-6.6391304126e-01
2.8748185893e+08,4.9678620131e-01,-5.4527473257e-01
3.4789836168e+08,4.9527610771e-01,-4.4733760698e-01
4.2153097440e+08,4.9307038509e-01,-3.6514740929e-01
