freq,real,imag
1.1802126333e+03,8.6676791128e+01,1.7009230625e-01
1.5284720988e+03,8.6851290939e+01,1.6471620360e-01
2.0508612971e+03,8.6745026180e+01,2.3533674174e-01
2.7473802282e+03,8.6865771949e+01,3.1861535130e-01
3.6760721364e+03,8.6954652604e+01,4.4256047552e-01
4.8949802658e+03,8.6958121532e+01,5.9244473996e-01
6.5201911050e+03,8.6945991491e+01,8.0117752884e-01
8.6677911426e+03,8.6858683780e+01,1.0857862175e+00
1.1569953356e+04,8.6666814039e+01,1.4881418093e+00
1.5400807477e+04,8.6664824837e+01,1.9840287773e+00
2.0508612971e+04,8.6688515768e+01,2.6548983737e+00
2.7357715794e+04,8.6708098192e+01,3.4932923529e+00
3.6528548387e+04,8.6754463098e+01,4.7330370626e+00
4.8717629681e+04,8.6835076795e+01,6.3104897114e+00
6.4911694829e+04,8.6999736636e+01,8.4904452030e+00
8.6619868182e+04,8.7278645979e+01,1.1345659359e+01
1.1076358838e+05,8.8301405549e+01,1.2723301337e+01
1.3341977691e+05,8.9295049455e+01,1.5926932525e+01
1.5985199686e+05,8.8668289637e+01,1.8617168598e+01
1.9761231108e+05,9.4361174479e+01,2.5611622993e+01
2.3537262530e+05,9.5748545852e+01,2.9655651960e+01
2.8823706521e+05,9.8818433096e+01,3.4815909738e+01
3.4865356796e+05,1.1031172107e+02,4.6357375628e+01
4.2039816498e+05,1.2190102055e+02,5.7232445318e+01
5.1102291910e+05,1.4567754293e+02,6.5417022844e+01
6.2052783034e+05,1.8549512631e+02,7.7375601485e+01
7.4891289869e+05,2.6904217998e+02,5.3441311744e+01
9.0750621841e+05,3.5741668689e+02,-9.2182144403e+01
1.1000838209e+06,1.9448758455e+02,-2.5091884645e+02
1.3341977691e+06,6.2660564547e+01,-2.0606998412e+02
1.6174001257e+06,2.0202760919e+01,-1.4328002583e+02
1.9572429537e+06,7.7055971948e+00,-1.0497227870e+02
2.3726064101e+06,2.2407224876e+00,-7.9472346797e+01
2.8748185893e+06,1.4157634745e+00,-6.1950100325e+01
3.4789836168e+06,6.9876857405e-01,-4.9133419797e+01
4.2153097440e+06,5.3617318724e-01,-3.9411051202e+01
5.1102291910e+06,4.7351004220e-01,-3.1810385959e+01
6.1901741777e+06,4.6348396642e-01,-2.5794812885e+01
7.5004570811e+06,4.7149135667e-01,-2.0925115742e+01
9.0863902784e+06,4.9047917375e-01,-1.6948043478e+01
1.1076358838e+07,4.8013904259e-01,-1.4465630333e+01
1.3341977691e+07,4.8650782829e-01,-1.1981046182e+01
1.5985199686e+07,4.9125214748e-01,-9.9843147800e+00
1.9761231108e+07,4.9668104054e-01,-8.0650692899e+00
2.3537262530e+07,4.9365350919e-01,-6.7659682914e+00
2.8823706521e+07,4.9576587827e-01,-5.5222117881e+00
3.4865356796e+07,4.9692671310e-01,-4.5638372501e+00
4.2039816498e+07,4.9765213273e-01,-3.7840697911e+00
5.1102291910e+07,4.9812038445e-01,-3.1122914118e+00
6.2052783034e+07,4.9991579278e-01,-2.5631742647e+00
7.4891289869e+07,4.9857551997e-01,-2.1225131596e+00
9.0750621841e+07,4.9975945429e-01,-1.7512246031e+00
1.1000838209e+08,4.9862596391e-01,-1.4433189421e+00
1.3341977691e+08,4.9967889539e-01,-1.1883845508e+00
1.6174001257e+08,4.9900275949e-01,-9.7944336143e-01
1.9572429537e+08,4.9869432751e-01,-8.0703282728e-01
2.3726064101e+08,4.9780285874e-01,-6.6405530283e-01
2.8748185893e+08,4.9677878970e-01,-5.4540090923e-01
3.4789836168e+08,4.9528805173e-01,-4.4743796004e-01
4.2153097440e+08,4.9309762879e-01,-3.6522669960e-01
