freq,real,imag
1.0060829005e+03,3.9433839285e-02,7.2255107631e-06
1.3543423660e+03,3.9428669805e-02,3.0728280252e-06
1.7606450758e+03,3.9437067287e-02,7.5034531598e-06
2.3991207627e+03,3.9437464670e-02,-1.6103080227e-06
3.1536829380e+03,3.9432567150e-02,-3.3703097250e-06
4.1984613347e+03,3.9429274032e-02,-1.1278446128e-05
5.6495424412e+03,3.9434712331e-02,-1.0857180398e-05
7.5069262574e+03,3.9293346895e-02,-1.1614444112e-04
1.0002785761e+04,3.9432011151e-02,-3.2287565382e-05
1.3311250683e+04,3.9426436374e-02,-4.2727763042e-05
1.7780580491e+04,3.9288753677e-02,-1.5115528775e-04
2.3700991406e+04,3.9284005283e-02,-1.6555872608e-04
3.1594872625e+04,3.9428965353e-02,-9.2692194926e-05
4.2158743080e+04,3.9436822711e-02,-1.2760186529e-04
5.6205208190e+04,3.9448639839e-02,-1.6985294520e-04
7.5011219330e+04,3.9456797150e-02,-2.2381481081e-04
9.9435494112e+04,3.9501775552e-02,-2.7923514251e-04
1.0002785761e+05,3.9486693494e-02,-3.0356495600e-04
1.2209168264e+05,3.9561541006e-02,-3.7240041261e-04
1.4852390260e+05,3.9569929663e-02,-4.3594802922e-04
1.7873215397e+05,3.9569876906e-02,-7.0233246632e-04
2.1649246819e+05,3.9630365773e-02,-7.9298232105e-04
2.6180484526e+05,3.9775040126e-02,-9.6055276543e-04
3.1466928516e+05,3.9938070474e-02,-1.1904463896e-03
3.8263785076e+05,4.0369375941e-02,-1.3572283429e-03
4.6571054204e+05,4.0777330683e-02,-1.7504145375e-03
5.6388735901e+05,4.1404923074e-02,-2.4114597919e-03
6.8094433309e+05,4.2053899277e-02,-3.4989111023e-03
8.2443352713e+05,4.3198322534e-02,-5.1036812417e-03
9.9813097254e+05,4.4519243843e-02,-7.6706151830e-03
1.2133647636e+06,4.5951760444e-02,-1.1981806061e-02
1.4663588689e+06,4.5042018617e-02,-1.8460035395e-02
1.7797694769e+06,4.0104461021e-02,-2.7180958929e-02
2.1535965877e+06,2.9620936227e-02,-3.1419173452e-02
2.6104963897e+06,1.8546703191e-02,-2.9303272381e-02
3.1617969773e+06,1.2235988394e-02,-2.3588897438e-02
3.8301545390e+06,9.1531642339e-03,-1.8138755024e-02
4.6420012947e+06,8.0035759533e-03,-1.3921690651e-02
5.6237694644e+06,7.6000591240e-03,-1.0806308011e-02
6.8132193624e+06,7.4880055218e-03,-8.4804866057e-03
8.2556633655e+06,7.4828679930e-03,-6.7010663111e-03
9.9435494112e+06,7.5062483113e-03,-5.4926256099e-03
1.0000189882e+07,7.5133705385e-03,-5.3074152156e-03
1.2209168264e+07,7.5477244054e-03,-4.3203728644e-03
1.4852390260e+07,7.5872696782e-03,-3.4214343926e-03
1.7873215397e+07,7.6231635880e-03,-2.7231340192e-03
2.1649246819e+07,7.6533394641e-03,-2.1220744841e-03
2.6180484526e+07,7.6877744317e-03,-1.6132244308e-03
3.1466928516e+07,7.7183241709e-03,-1.1866144263e-03
3.8263785076e+07,7.7482439788e-03,-7.9203525246e-04
4.6571054204e+07,7.7731676529e-03,-4.4014821836e-04
5.6388735901e+07,7.7943297132e-03,-1.1466416919e-04
6.8094433309e+07,7.8132522558e-03,1.9582088433e-04
8.2443352713e+07,7.8278571619e-03,5.1212308718e-04
9.9813097254e+07,7.8409889734e-03,8.4339556434e-04
1.2133647636e+08,7.8559126010e-03,1.2180938621e-03
1.4663588689e+08,7.8698619753e-03,1.6197926002e-03
1.7797694769e+08,7.8900322796e-03,2.0972714595e-03
2.1535965877e+08,7.9156753671e-03,2.6421534113e-03
2.6104963897e+08,7.9523526830e-03,3.2939065593e-03
3.1617969773e+08,8.0058024539e-03,4.0710994609e-03
3.8301545390e+08,8.0853715456e-03,5.0089678857e-03
4.6420012947e+08,8.2050657101e-03,6.1534934405e-03
