freq,real,imag
1.0060829005e+03,4.2059866555e-02,7.2785683890e-06
1.3543423660e+03,4.2056305331e-02,5.6602182518e-06
1.7606450758e+03,4.2063057010e-02,1.1125938259e-05
2.3991207627e+03,4.2057367531e-02,7.6569003387e-06
3.1536829380e+03,4.2056931432e-02,9.3120169879e-06
4.1984613347e+03,4.2053634747e-02,8.9605828413e-06
5.6495424412e+03,4.2056995470e-02,1.4509587554e-05
7.5069262574e+03,4.2026587287e-02,-6.8599184091e-06
1.0002785761e+04,4.2057140036e-02,1.8694067872e-05
1.3311250683e+04,4.2056806891e-02,2.5561356674e-05
1.7780580491e+04,4.2024544437e-02,1.2126912772e-05
2.3700991406e+04,4.2022157379e-02,2.6788444889e-05
3.1594872625e+04,4.2057416120e-02,6.6436115491e-05
4.2158743080e+04,4.2064437569e-02,8.6382017102e-05
5.6205208190e+04,4.2071463877e-02,1.1622042672e-04
7.5011219330e+04,4.2079751790e-02,1.5884221171e-04
9.9435494112e+04,4.2115142801e-02,2.2587979801e-04
1.0002785761e+05,4.2102040054e-02,2.1329193742e-04
1.2209168264e+05,4.2140428153e-02,2.6180367356e-04
1.4852390260e+05,4.2160254413e-02,3.1167471665e-04
1.7873215397e+05,4.2201052012e-02,3.3432427543e-04
2.1649246819e+05,4.2273589988e-02,4.3032599417e-04
2.6180484526e+05,4.2371971667e-02,5.0608650068e-04
3.1466928516e+05,4.2513192947e-02,5.7793083890e-04
3.8263785076e+05,4.2759396410e-02,7.0600459229e-04
4.6571054204e+05,4.3099022908e-02,8.3839852868e-04
5.6388735901e+05,4.3583319486e-02,8.9476290376e-04
6.8094433309e+05,4.4242179986e-02,8.6752173904e-04
8.2443352713e+05,4.5275752611e-02,7.2513540225e-04
9.9813097254e+05,4.6755161774e-02,2.9636315858e-04
1.2133647636e+06,4.8927906305e-02,-7.8925652263e-04
1.4663588689e+06,5.1501539062e-02,-3.2326398964e-03
1.7797694769e+06,5.4422995270e-02,-8.3314216958e-03
2.1535965877e+06,5.4753748157e-02,-1.6800320899e-02
2.6104963897e+06,4.8754731015e-02,-2.6829311113e-02
3.1617969773e+06,3.7134520677e-02,-3.1136711921e-02
3.8301545390e+06,2.6622780551e-02,-2.8655489779e-02
4.6420012947e+06,2.0396491347e-02,-2.3494822384e-02
5.6237694644e+06,1.7227665611e-02,-1.8625151578e-02
6.8132193624e+06,1.5648225261e-02,-1.4704564663e-02
8.2556633655e+06,1.4839473662e-02,-1.1648732591e-02
9.9435494112e+06,1.4455428815e-02,-9.5754417882e-03
1.0000189882e+07,1.4410453683e-02,-9.2593373301e-03
1.2209168264e+07,1.4198278027e-02,-7.5811512933e-03
1.4852390260e+07,1.4064823926e-02,-6.0702664665e-03
1.7873215397e+07,1.3996408975e-02,-4.9121553745e-03
2.1649246819e+07,1.3953447976e-02,-3.9295596624e-03
2.6180484526e+07,1.3940880146e-02,-3.1129954556e-03
3.1466928516e+07,1.3939554533e-02,-2.4434157089e-03
3.8263785076e+07,1.3946430430e-02,-1.8410045359e-03
4.6571054204e+07,1.3954562015e-02,-1.3235351556e-03
5.6388735901e+07,1.3963572077e-02,-8.6715729067e-04
6.8094433309e+07,1.3973919053e-02,-4.5512329461e-04
8.2443352713e+07,1.3980406418e-02,-6.0144523742e-05
9.9813097254e+07,1.3985896046e-02,3.2859462417e-04
1.2133647636e+08,1.3993083163e-02,7.4543234585e-04
1.4663588689e+08,1.3997238090e-02,1.1696454082e-03
1.7797694769e+08,1.4005911105e-02,1.6573667047e-03
2.1535965877e+08,1.4016681627e-02,2.1975554874e-03
2.6104963897e+08,1.4034446074e-02,2.8325125690e-03
3.1617969773e+08,1.4064769643e-02,3.5817270156e-03
3.8301545390e+08,1.4116978131e-02,4.4800556430e-03
4.6420012947e+08,1.4205200358e-02,5.5729775161e-03
