freq,real,imag
1.1802126333e+03,4.3970183320e+01,2.9916479604e-02
1.5284720988e+03,4.3969876872e+01,3.5816089001e-02
2.0508612971e+03,4.3968413411e+01,4.8084842594e-02
2.7473802282e+03,4.3975344216e+01,6.4208058549e-02
3.6760721364e+03,4.3973786631e+01,8.7812672706e-02
4.8949802658e+03,4.3973510747e+01,1.1298725672e-01
6.5201911050e+03,4.3972872645e+01,1.5485769170e-01
8.6677911426e+03,4.3973234960e+01,2.0353924451e-01
1.1569953356e+04,4.3965981606e+01,2.7355763855e-01
1.5400807477e+04,4.3962945783e+01,3.6368301304e-01
2.0508612971e+04,4.3957849016e+01,4.8097741667e-01
2.7357715794e+04,4.3947892085e+01,6.4236621442e-01
3.6528548387e+04,4.3930599892e+01,8.6380361779e-01
4.8717629681e+04,4.3900223236e+01,1.1561463792e+00
6.4911694829e+04,4.3844623598e+01,1.5498306641e+00
8.6619868182e+04,4.3751334120e+01,2.0936565977e+00
1.1076358838e+05,4.4119240195e+01,2.5246427824e+00
1.3341977691e+05,4.4193905370e+01,3.0723867252e+00
1.5985199686e+05,4.4327005756e+01,3.6636958194e+00
1.9761231108e+05,4.4587568564e+01,4.6401025261e+00
2.3537262530e+05,4.4790448343e+01,5.4092140838e+00
2.8823706521e+05,4.5196840831e+01,6.5609412765e+00
3.4865356796e+05,4.5943894488e+01,8.0771324251e+00
4.2039816498e+05,4.6813505092e+01,9.7385643848e+00
5.1102291910e+05,4.8256614262e+01,1.1525880096e+01
6.2052783034e+05,5.0337104041e+01,1.3797704530e+01
7.4891289869e+05,5.3563240746e+01,1.6007002695e+01
9.0750621841e+05,5.8430062107e+01,1.8399605913e+01
1.1000838209e+06,6.5846437396e+01,1.9044035016e+01
1.3341977691e+06,7.6176283224e+01,1.6658366959e+01
1.6174001257e+06,8.7019454398e+01,6.2734590995e+00
1.9572429537e+06,9.0259953451e+01,-1.2113741660e+01
2.3726064101e+06,8.0097218359e+01,-2.9334810843e+01
2.8748185893e+06,6.4171642858e+01,-3.5680035716e+01
3.4789836168e+06,5.1238881103e+01,-3.4049830449e+01
4.2153097440e+06,4.2726339772e+01,-2.9535144268e+01
5.1102291910e+06,3.7421200052e+01,-2.4685237377e+01
6.1901741777e+06,3.4097879141e+01,-2.0351545441e+01
7.5004570811e+06,3.1916325116e+01,-1.6659400255e+01
9.0863902784e+06,3.0394021906e+01,-1.3567390520e+01
1.1076358838e+07,3.0314162250e+01,-1.1695166623e+01
1.3341977691e+07,2.9747129659e+01,-9.7599954504e+00
1.5985199686e+07,2.9359193844e+01,-8.2060798755e+00
1.9761231108e+07,2.9037824333e+01,-6.7150543203e+00
2.3537262530e+07,2.8841988807e+01,-5.7084156855e+00
2.8823706521e+07,2.8670238233e+01,-4.7421950575e+00
3.4865356796e+07,2.8546154959e+01,-3.9956954095e+00
4.2039816498e+07,2.8451445717e+01,-3.3875769645e+00
5.1102291910e+07,2.8374222399e+01,-2.8661240622e+00
6.2052783034e+07,2.8315603480e+01,-2.4432561801e+00
7.4891289869e+07,2.8269897058e+01,-2.1164433217e+00
9.0750621841e+07,2.8233810593e+01,-1.8520669307e+00
1.1000838209e+08,2.8201115753e+01,-1.6554910126e+00
1.3341977691e+08,2.8170357024e+01,-1.5138086450e+00
1.6174001257e+08,2.8137223740e+01,-1.4307245485e+00
1.9572429537e+08,2.8095622293e+01,-1.3965781044e+00
2.3726064101e+08,2.8041105914e+01,-1.4150963429e+00
2.8748185893e+08,2.7964262816e+01,-1.4813910817e+00
3.4789836168e+08,2.7855318405e+01,-1.5985615678e+00
4.2153097440e+08,2.7697228358e+01,-1.7682872391e+00
