freq,real,imag
1.0060829005e+03,5.8803124717e-03,9.8696346814e-05
1.3543423660e+03,5.8688506823e-03,1.1993837597e-04
1.7606450758e+03,5.8894943909e-03,1.6768477355e-04
2.3991207627e+03,5.8720246927e-03,2.0469000938e-04
3.1536829380e+03,5.8710040287e-03,2.6694435914e-04
4.1984613347e+03,5.8608249758e-03,3.4447945154e-04
5.6495424412e+03,5.8723011796e-03,4.7042078401e-04
7.5069262574e+03,5.8393466145e-03,5.8509944945e-04
1.0002785761e+04,5.8745104262e-03,8.1162315043e-04
1.3311250683e+04,5.8772815569e-03,1.0820300529e-03
1.7780580491e+04,5.8423554841e-03,1.4184049203e-03
2.3700991406e+04,5.8446780540e-03,1.9099938063e-03
3.1594872625e+04,5.9107234874e-03,2.5865081473e-03
4.2158743080e+04,5.9627636141e-03,3.4450241893e-03
5.6205208190e+04,6.0370438694e-03,4.5975557204e-03
7.5011219330e+04,6.1526725692e-03,6.1510540196e-03
9.9435494112e+04,6.3796157872e-03,8.0277021151e-03
1.0002785761e+05,6.3728436502e-03,8.2193062632e-03
1.2209168264e+05,6.5888962217e-03,9.7567650050e-03
1.4852390260e+05,6.8665213573e-03,1.1730118303e-02
1.7873215397e+05,7.1879362503e-03,1.3898318702e-02
2.1649246819e+05,7.6357835689e-03,1.6590632200e-02
2.6180484526e+05,8.1350492070e-03,1.9670158700e-02
3.1466928516e+05,8.6781032909e-03,2.3158129144e-02
3.8263785076e+05,9.2923270903e-03,2.7586801609e-02
4.6571054204e+05,9.8887361877e-03,3.2959202041e-02
5.6388735901e+05,1.0478400424e-02,3.9216408144e-02
6.8094433309e+05,1.1074933965e-02,4.6697505060e-02
8.2443352713e+05,1.1742628934e-02,5.6077374002e-02
9.9813097254e+05,1.2514018792e-02,6.7708221158e-02
1.2133647636e+06,1.3648998198e-02,8.2572090269e-02
1.4663588689e+06,1.5149652286e-02,1.0047152375e-01
1.7797694769e+06,1.7949520538e-02,1.2406967232e-01
2.1535965877e+06,2.2278285703e-02,1.5392757615e-01
2.6104963897e+06,3.1054163366e-02,1.9414914721e-01
3.1617969773e+06,4.8071326831e-02,2.4879147045e-01
3.8301545390e+06,8.6965920567e-02,3.2531116417e-01
4.6420012947e+06,1.8092078938e-01,4.2609454679e-01
5.6237694644e+06,4.0195954579e-01,4.9590460218e-01
6.8132193624e+06,6.9165485584e-01,3.1507613056e-01
8.2556633655e+06,6.7610136154e-01,-1.1413170721e-02
9.9435494112e+06,5.3316935898e-01,-1.2923035776e-01
1.0000189882e+07,5.1215126173e-01,-1.3593004492e-01
1.2209168264e+07,4.0786068979e-01,-1.4834171889e-01
1.4852390260e+07,3.3891567163e-01,-1.3277390755e-01
1.7873215397e+07,3.0011297660e-01,-1.1344657120e-01
2.1649246819e+07,2.7426346269e-01,-9.5015651499e-02
2.6180484526e+07,2.5912838955e-01,-7.8870670592e-02
3.1466928516e+07,2.4929484222e-01,-6.5590879261e-02
3.8263785076e+07,2.4269711151e-01,-5.3906033349e-02
4.6571054204e+07,2.3784612867e-01,-4.4797443214e-02
5.6388735901e+07,2.3494247411e-01,-3.7076240669e-02
6.8094433309e+07,2.3336129313e-01,-3.0680882555e-02
8.2443352713e+07,2.3202711785e-01,-2.5613181772e-02
9.9813097254e+07,2.3108807453e-01,-2.1838517981e-02
1.2133647636e+08,2.3047987209e-01,-1.8095390251e-02
1.4663588689e+08,2.3006699455e-01,-1.5834488946e-02
1.7797694769e+08,2.2977994929e-01,-1.3360142158e-02
2.1535965877e+08,2.2975425294e-01,-1.1981513377e-02
2.6104963897e+08,2.2960103521e-01,-1.0840106344e-02
3.1617969773e+08,2.2949604288e-01,-1.0113520222e-02
3.8301545390e+08,2.2940440946e-01,-9.7614294170e-03
4.6420012947e+08,2.2932505731e-01,-9.7847404978e-03
