freq,real,imag
1.0060829005e+03,1.5575460141e-02,1.1522724246e-04
1.3543423660e+03,1.5555205426e-02,1.3240703113e-04
1.7606450758e+03,1.5593441579e-02,1.9456444048e-04
2.3991207627e+03,1.5555849711e-02,2.2349677398e-04
3.1536829380e+03,1.5556704231e-02,2.9002116394e-04
4.1984613347e+03,1.5537109934e-02,3.6796354045e-04
5.6495424412e+03,1.5556019439e-02,5.0752021219e-04
7.5069262574e+03,1.5571076123e-02,6.5324667020e-04
1.0002785761e+04,1.5559029837e-02,8.6238830441e-04
1.3311250683e+04,1.5562422861e-02,1.1518185459e-03
1.7780580491e+04,1.5562756927e-02,1.5402248621e-03
2.3700991406e+04,1.5553267318e-02,2.0716276081e-03
3.1594872625e+04,1.5574790345e-02,2.7671789826e-03
4.2158743080e+04,1.5625648451e-02,3.6824994097e-03
5.6205208190e+04,1.5680340848e-02,4.9207294623e-03
7.5011219330e+04,1.5755307070e-02,6.6003979544e-03
9.9435494112e+04,1.5969536004e-02,8.6895478761e-03
1.0002785761e+05,1.5919551265e-02,8.8442410244e-03
1.2209168264e+05,1.6109315967e-02,1.0556119599e-02
1.4852390260e+05,1.6301309314e-02,1.2705359054e-02
1.7873215397e+05,1.6568081620e-02,1.5172937467e-02
2.1649246819e+05,1.6941351431e-02,1.8265407607e-02
2.6180484526e+05,1.7308421357e-02,2.1754181061e-02
3.1466928516e+05,1.7753278474e-02,2.5737280208e-02
3.8263785076e+05,1.8248248158e-02,3.0794170621e-02
4.6571054204e+05,1.8767995003e-02,3.7150533847e-02
5.6388735901e+05,1.9360167984e-02,4.4421258365e-02
6.8094433309e+05,1.9999979302e-02,5.3211983575e-02
8.2443352713e+05,2.0795074525e-02,6.4101685845e-02
9.9813097254e+05,2.1745090361e-02,7.7592425753e-02
1.2133647636e+06,2.3385921044e-02,9.4515770100e-02
1.4663588689e+06,2.5476656371e-02,1.1499582715e-01
1.7797694769e+06,2.9270522518e-02,1.4125007527e-01
2.1535965877e+06,3.4984595089e-02,1.7405431482e-01
2.6104963897e+06,4.5368096521e-02,2.1699659457e-01
3.1617969773e+06,6.4504171590e-02,2.7328491246e-01
3.8301545390e+06,1.0266820057e-01,3.4815459665e-01
4.6420012947e+06,1.8380009760e-01,4.4327361068e-01
5.6237694644e+06,3.5518027209e-01,5.3039281990e-01
6.8132193624e+06,6.3233969506e-01,4.8286613392e-01
8.2556633655e+06,7.9461742489e-01,2.0651165114e-01
9.9435494112e+06,7.2930022775e-01,-8.8277846028e-03
1.0000189882e+07,7.1002528018e-01,-3.1748615019e-02
1.2209168264e+07,5.9107216168e-01,-1.1236252409e-01
1.4852390260e+07,4.9376264349e-01,-1.2921489859e-01
1.7873215397e+07,4.3461231577e-01,-1.2098058816e-01
2.1649246819e+07,3.9488513718e-01,-1.0600696631e-01
2.6180484526e+07,3.7028628747e-01,-9.0243020651e-02
3.1466928516e+07,3.5450830993e-01,-7.6323249148e-02
3.8263785076e+07,3.4357371894e-01,-6.3412670085e-02
4.6571054204e+07,3.3604143745e-01,-5.2739265444e-02
5.6388735901e+07,3.3127190599e-01,-4.3971669028e-02
6.8094433309e+07,3.2832648583e-01,-3.6552207117e-02
8.2443352713e+07,3.2614264181e-01,-3.0567584416e-02
9.9813097254e+07,3.2463410748e-01,-2.5885331802e-02
1.2133647636e+08,3.2364444118e-01,-2.1634335702e-02
1.4663588689e+08,3.2295783068e-01,-1.8721916022e-02
1.7797694769e+08,3.2247965419e-01,-1.5962744879e-02
2.1535965877e+08,3.2226290143e-01,-1.4194715154e-02
2.6104963897e+08,3.2200946683e-01,-1.2803576647e-02
3.1617969773e+08,3.2183665244e-01,-1.1902671283e-02
3.8301545390e+08,3.2168121583e-01,-1.1433172794e-02
4.6420012947e+08,3.2154588709e-01,-1.1398681473e-02
