freq,real,imag
1.1802126333e+03,2.4714599678e+01,3.1659915048e-02
1.5284720988e+03,2.4709516501e+01,3.5799424477e-02
2.0508612971e+03,2.4709157651e+01,4.7996203663e-02
2.7473802282e+03,2.4720718194e+01,6.4242502379e-02
3.6760721364e+03,2.4715041276e+01,8.9547713031e-02
4.8949802658e+03,2.4714791036e+01,1.1051267410e-01
6.5201911050e+03,2.4713324131e+01,1.5583341901e-01
8.6677911426e+03,2.4716666565e+01,2.0205490127e-01
1.1569953356e+04,2.4707035653e+01,2.7333756213e-01
1.5400807477e+04,2.4701239817e+01,3.6295264423e-01
2.0508612971e+04,2.4691467965e+01,4.7522541530e-01
2.7357715794e+04,2.4673672990e+01,6.3630587379e-01
3.6528548387e+04,2.4641749005e+01,8.6204216628e-01
4.8717629681e+04,2.4586386628e+01,1.1564742323e+00
6.4911694829e+04,2.4484028554e+01,1.5545877316e+00
8.6619868182e+04,2.4313642051e+01,2.1186795356e+00
1.1076358838e+05,2.4404507715e+01,2.6782025157e+00
1.3341977691e+05,2.4289669396e+01,3.2849618599e+00
1.5985199686e+05,2.4139836502e+01,4.0122813985e+00
1.9761231108e+05,2.3941502126e+01,5.1342065828e+00
2.3537262530e+05,2.3718135091e+01,6.2573036780e+00
2.8823706521e+05,2.3456177002e+01,7.9066099721e+00
3.4865356796e+05,2.3230365523e+01,9.9431622970e+00
4.2039816498e+05,2.3000581246e+01,1.2380159878e+01
5.1102291910e+05,2.2867774999e+01,1.5440087527e+01
6.2052783034e+05,2.2764645821e+01,1.9216373211e+01
7.4891289869e+05,2.2843930652e+01,2.3654282880e+01
9.0750621841e+05,2.2955947050e+01,2.9222448923e+01
1.1000838209e+06,2.3459820707e+01,3.5963917340e+01
1.3341977691e+06,2.4126549882e+01,4.4415536248e+01
1.6174001257e+06,2.5390019803e+01,5.4922240966e+01
1.9572429537e+06,2.7464358659e+01,6.8146079517e+01
2.3726064101e+06,3.1166746009e+01,8.5462164620e+01
2.8748185893e+06,3.8110033905e+01,1.0849971022e+02
3.4789836168e+06,5.2240632426e+01,1.3975052117e+02
4.2153097440e+06,8.4010113897e+01,1.8211068080e+02
5.1102291910e+06,1.5938590744e+02,2.2708589011e+02
6.1901741777e+06,3.0031496702e+02,2.0514455766e+02
7.5004570811e+06,3.6833614531e+02,4.4761701072e+01
9.0863902784e+06,2.9188859308e+02,-6.3072568870e+01
1.1076358838e+07,2.3063637607e+02,-8.4982348854e+01
1.3341977691e+07,1.8670677353e+02,-7.9407653426e+01
1.5985199686e+07,1.6149129296e+02,-6.8557780801e+01
1.9761231108e+07,1.4387902431e+02,-5.6028468252e+01
2.3537262530e+07,1.3503772943e+02,-4.7151956206e+01
2.8823706521e+07,1.2840543058e+02,-3.8543802137e+01
3.4865356796e+07,1.2449119443e+02,-3.1846346328e+01
4.2039816498e+07,1.2194658507e+02,-2.6431837360e+01
5.1102291910e+07,1.2016051814e+02,-2.1769818497e+01
6.2052783034e+07,1.1910067225e+02,-1.7879821132e+01
7.4891289869e+07,1.1819104016e+02,-1.4946323156e+01
9.0750621841e+07,1.1773072861e+02,-1.2326616935e+01
1.1000838209e+08,1.1721493310e+02,-1.0352196867e+01
1.3341977691e+08,1.1680013451e+02,-8.4521707281e+00
1.6174001257e+08,1.1674425676e+02,-7.1774276884e+00
1.9572429537e+08,1.1637167079e+02,-5.9568384903e+00
2.3726064101e+08,1.1624560846e+02,-5.1740413520e+00
2.8748185893e+08,1.1591057179e+02,-4.4423497780e+00
3.4789836168e+08,1.1549991962e+02,-3.8895667742e+00
4.2153097440e+08,1.1490606162e+02,-3.4340917803e+00
