freq,real,imag
1.1802126333e+03,1.9362358983e+01,2.8433090462e-02
1.5284720988e+03,1.9352074353e+01,2.8078474873e-02
2.0508612971e+03,1.9352400850e+01,3.7548064576e-02
2.7473802282e+03,1.9379805706e+01,4.5135964637e-02
3.6760721364e+03,1.9361572933e+01,7.3600569983e-02
4.8949802658e+03,1.9369545556e+01,7.7524255254e-02
6.5201911050e+03,1.9367661984e+01,1.3042680761e-01
8.6677911426e+03,1.9376244641e+01,1.6262345335e-01
1.1569953356e+04,1.9363907913e+01,2.2175004581e-01
1.5400807477e+04,1.9359292586e+01,2.9165285517e-01
2.0508612971e+04,1.9344176434e+01,3.6630875400e-01
2.7357715794e+04,1.9330300278e+01,4.9189432590e-01
3.6528548387e+04,1.9312272429e+01,6.8034033839e-01
4.8717629681e+04,1.9269019964e+01,9.0978974487e-01
6.4911694829e+04,1.9176583636e+01,1.2105596103e+00
8.6619868182e+04,1.9043733829e+01,1.6502162843e+00
1.1076358838e+05,1.9120970011e+01,2.1058221545e+00
1.3341977691e+05,1.9035953528e+01,2.5850964328e+00
1.5985199686e+05,1.8915150592e+01,3.1454173254e+00
1.9761231108e+05,1.8762637931e+01,4.0056654268e+00
2.3537262530e+05,1.8591916635e+01,4.9020816213e+00
2.8823706521e+05,1.8404056418e+01,6.2099946583e+00
3.4865356796e+05,1.8216877339e+01,7.7516690666e+00
4.2039816498e+05,1.8060940910e+01,9.6470889408e+00
5.1102291910e+05,1.7951433933e+01,1.2054190424e+01
6.2052783034e+05,1.7897261097e+01,1.4968984785e+01
7.4891289869e+05,1.7958622815e+01,1.8427785098e+01
9.0750621841e+05,1.8135036928e+01,2.2692313264e+01
1.1000838209e+06,1.8523213893e+01,2.7924450140e+01
1.3341977691e+06,1.9187225129e+01,3.4341496660e+01
1.6174001257e+06,2.0195105412e+01,4.2276930918e+01
1.9572429537e+06,2.1909387231e+01,5.2173220174e+01
2.3726064101e+06,2.4791143570e+01,6.4806477848e+01
2.8748185893e+06,2.9870301528e+01,8.1205246179e+01
3.4789836168e+06,3.9477300852e+01,1.0246150944e+02
4.2153097440e+06,5.8866837418e+01,1.3012515114e+02
5.1102291910e+06,9.9671540110e+01,1.6106074733e+02
6.1901741777e+06,1.7666962747e+02,1.7130777045e+02
7.5004570811e+06,2.5866567729e+02,1.0912895760e+02
9.0863902784e+06,2.5896660604e+02,1.1489229997e+01
1.1076358838e+07,2.2336325692e+02,-3.5294393056e+01
1.3341977691e+07,1.8439034126e+02,-4.8466343673e+01
1.5985199686e+07,1.5889916127e+02,-4.7599038071e+01
1.9761231108e+07,1.4023653929e+02,-4.1617030698e+01
2.3537262530e+07,1.3055300521e+02,-3.6032363469e+01
2.8823706521e+07,1.2333432139e+02,-3.0031571508e+01
3.4865356796e+07,1.1894694340e+02,-2.5091305784e+01
4.2039816498e+07,1.1611217870e+02,-2.0962160588e+01
5.1102291910e+07,1.1411262139e+02,-1.7346804375e+01
6.2052783034e+07,1.1286675944e+02,-1.4296367569e+01
7.4891289869e+07,1.1189272733e+02,-1.1977201066e+01
9.0750621841e+07,1.1134411576e+02,-9.9118263515e+00
1.1000838209e+08,1.1082005465e+02,-8.3338305435e+00
1.3341977691e+08,1.1042329227e+02,-6.8615414684e+00
1.6174001257e+08,1.1027550372e+02,-5.8260288532e+00
1.9572429537e+08,1.0993740295e+02,-4.8738225730e+00
2.3726064101e+08,1.0976935343e+02,-4.2456119004e+00
2.8748185893e+08,1.0944694899e+02,-3.6694864739e+00
3.4789836168e+08,1.0904251038e+02,-3.2441968883e+00
4.2153097440e+08,1.0847436102e+02,-2.8936829765e+00
