freq,real,imag
1.0060829005e+03,4.1712584914e-02,1.8480637253e-03
1.3543423660e+03,4.1754635745e-02,2.4835199578e-03
1.7606450758e+03,4.1821186383e-02,3.2296072822e-03
2.3991207627e+03,4.1958508080e-02,4.3848417818e-03
3.1536829380e+03,4.2174945724e-02,5.7450054028e-03
4.1984613347e+03,4.2568932856e-02,7.5966034048e-03
5.6495424412e+03,4.3288055366e-02,1.0111289973e-02
7.5069262574e+03,4.4488726169e-02,1.3184437958e-02
1.0002785761e+04,4.6520149017e-02,1.6985269426e-02
1.3311250683e+04,4.9798438124e-02,2.1366500028e-02
1.7780580491e+04,5.4885476054e-02,2.5975143190e-02
2.3700991406e+04,6.1942752716e-02,2.9864852177e-02
3.1594872625e+04,7.0688745544e-02,3.1979169660e-02
4.2158743080e+04,8.0046284590e-02,3.1518804574e-02
5.6205208190e+04,8.8475901312e-02,2.8586668888e-02
7.5011219330e+04,9.5065570496e-02,2.4075767000e-02
9.9435494112e+04,9.9347286826e-02,1.9679187921e-02
1.0002785761e+05,9.9660578682e-02,1.9057559865e-02
1.2209168264e+05,1.0158008691e-01,1.6289924761e-02
1.4852390260e+05,1.0307725473e-01,1.3308274471e-02
1.7873215397e+05,1.0411945282e-01,1.0807740542e-02
2.1649246819e+05,1.0493389657e-01,8.5942946717e-03
2.6180484526e+05,1.0541849820e-01,6.4487978251e-03
3.1466928516e+05,1.0576298017e-01,4.4950017932e-03
3.8263785076e+05,1.0598062240e-01,2.5744290255e-03
4.6571054204e+05,1.0618699921e-01,9.9356034714e-04
5.6388735901e+05,1.0625149914e-01,-8.1378033364e-04
6.8094433309e+05,1.0625057483e-01,-2.5224414658e-03
8.2443352713e+05,1.0621791600e-01,-4.3558217978e-03
9.9813097254e+05,1.0615823508e-01,-6.1970552251e-03
1.2133647636e+06,1.0604717263e-01,-8.5342435911e-03
1.4663588689e+06,1.0583035085e-01,-1.0913672089e-02
1.7797694769e+06,1.0552900963e-01,-1.3960934741e-02
2.1535965877e+06,1.0502287751e-01,-1.7283959446e-02
2.6104963897e+06,1.0435802718e-01,-2.1359989688e-02
3.1617969773e+06,1.0339018460e-01,-2.6204725878e-02
3.8301545390e+06,1.0199051950e-01,-3.2068171683e-02
4.6420012947e+06,9.9942768128e-02,-3.9260947567e-02
5.6237694644e+06,9.6867993486e-02,-4.8258130012e-02
6.8132193624e+06,9.1855102438e-02,-5.9945369174e-02
8.2556633655e+06,8.2302569568e-02,-7.5603094850e-02
9.9435494112e+06,6.5052219173e-02,-9.1783394765e-02
1.0000189882e+07,6.0927090282e-02,-9.4318859220e-02
1.2209168264e+07,2.5061315400e-02,-1.0085493425e-01
1.4852390260e+07,-1.1480330420e-02,-7.6050186276e-02
1.7873215397e+07,-1.7615792284e-02,-4.5761582452e-02
2.1649246819e+07,-1.2075838164e-02,-2.8228155253e-02
2.6180484526e+07,-6.8528907700e-03,-1.9892602872e-02
3.1466928516e+07,-3.6152776666e-03,-1.5392532740e-02
3.8263785076e+07,-1.6125747941e-03,-1.2272137392e-02
4.6571054204e+07,-5.1241753699e-04,-9.9701862331e-03
5.6388735901e+07,1.4317259211e-04,-8.2023142212e-03
6.8094433309e+07,5.4073238872e-04,-6.7929423152e-03
8.2443352713e+07,7.8541833455e-04,-5.5990688890e-03
9.9813097254e+07,9.3871815189e-04,-4.6113031621e-03
1.2133647636e+08,1.0604918680e-03,-3.7738350685e-03
1.4663588689e+08,1.1338679348e-03,-3.1058129701e-03
1.7797694769e+08,1.1986901657e-03,-2.5400736978e-03
2.1535965877e+08,1.2434466554e-03,-2.0852735249e-03
2.6104963897e+08,1.2797531570e-03,-1.7087442727e-03
3.1617969773e+08,1.3072461239e-03,-1.4023768456e-03
3.8301545390e+08,1.3276400176e-03,-1.1515800489e-03
4.6420012947e+08,1.3424097033e-03,-9.4557521121e-04
