freq,real,imag
1.1802126333e+03,1.3670251237e+00,8.6319805670e-01
1.5284720988e+03,1.3862565085e+00,1.1163061479e+00
2.0508612971e+03,1.4244527855e+00,1.4956361242e+00
2.7473802282e+03,1.4939024687e+00,1.9995105480e+00
3.6760721364e+03,1.6128236286e+00,2.6628192477e+00
4.8949802658e+03,1.8235743692e+00,3.5161456177e+00
6.5201911050e+03,2.1837269981e+00,4.6193361839e+00
8.6677911426e+03,2.7983164298e+00,5.9934573618e+00
1.1569953356e+04,3.8281485525e+00,7.6643379727e+00
1.5400807477e+04,5.4499783765e+00,9.5035864257e+00
2.0508612971e+04,7.8484647138e+00,1.1277727524e+01
2.7357715794e+04,1.1050334295e+01,1.2592920011e+01
3.6528548387e+04,1.4765121647e+01,1.3014494783e+01
4.8717629681e+04,1.8417932790e+01,1.2351985487e+01
6.4911694829e+04,2.1465072574e+01,1.0824941994e+01
8.6619868182e+04,2.3679180615e+01,8.8696363524e+00
1.1076358838e+05,2.5109067757e+01,7.3770012975e+00
1.3341977691e+05,2.5816539974e+01,6.2207036951e+00
1.5985199686e+05,2.6332017175e+01,5.1712197329e+00
1.9761231108e+05,2.6751105841e+01,4.1140383282e+00
2.3537262530e+05,2.6982286609e+01,3.2893963622e+00
2.8823706521e+05,2.7143282486e+01,2.4545992487e+00
3.4865356796e+05,2.7309767791e+01,1.7833796315e+00
4.2039816498e+05,2.7379852908e+01,1.1782879806e+00
5.1102291910e+05,2.7425918630e+01,5.1709284892e-01
6.2052783034e+05,2.7416180806e+01,-5.9540150635e-02
7.4891289869e+05,2.7419390563e+01,-6.5538671527e-01
9.0750621841e+05,2.7392601860e+01,-1.2163218518e+00
1.1000838209e+06,2.7337265860e+01,-1.9367452501e+00
1.3341977691e+06,2.7249178056e+01,-2.6257485395e+00
1.6174001257e+06,2.7115040760e+01,-3.4701604587e+00
1.9572429537e+06,2.6890184208e+01,-4.3767390379e+00
2.3726064101e+06,2.6598867334e+01,-5.4563318107e+00
2.8748185893e+06,2.6146151946e+01,-6.6398310830e+00
3.4789836168e+06,2.5536206328e+01,-8.0538543655e+00
4.2153097440e+06,2.4678318898e+01,-9.6384796756e+00
5.1102291910e+06,2.3493232462e+01,-1.1437881153e+01
6.1901741777e+06,2.1856681725e+01,-1.3461732873e+01
7.5004570811e+06,1.9497549553e+01,-1.5744478322e+01
9.0863902784e+06,1.5826978092e+01,-1.8107837237e+01
1.1076358838e+07,1.1075789090e+01,-2.0016902630e+01
1.3341977691e+07,4.8255588205e+00,-1.8517494469e+01
1.5985199686e+07,9.8362256104e-01,-1.4339312482e+01
1.9761231108e+07,-1.1032723808e-01,-9.8594596291e+00
2.3537262530e+07,-3.6538364813e-02,-7.5342762075e+00
2.8823706521e+07,1.9579054008e-01,-5.7836289576e+00
3.4865356796e+07,3.4435832864e-01,-4.6584251509e+00
4.2039816498e+07,4.2303154947e-01,-3.8176990944e+00
5.1102291910e+07,4.6342038276e-01,-3.1230317427e+00
6.2052783034e+07,4.8469501242e-01,-2.5659731763e+00
7.4891289869e+07,4.9111869125e-01,-2.1225965739e+00
9.0750621841e+07,4.9696898985e-01,-1.7507313454e+00
1.1000838209e+08,4.9717927012e-01,-1.4427461030e+00
1.3341977691e+08,5.0066034036e-01,-1.1847447153e+00
1.6174001257e+08,4.9890992407e-01,-9.7905283181e-01
1.9572429537e+08,4.9988876883e-01,-8.0632710093e-01
2.3726064101e+08,4.9780548565e-01,-6.6381623694e-01
2.8748185893e+08,4.9673271480e-01,-5.4525093113e-01
3.4789836168e+08,4.9525095837e-01,-4.4727879131e-01
4.2153097440e+08,4.9305374063e-01,-3.6510446086e-01
