freq,real,imag
1.1802126333e+03,5.1913548588e+00,2.9920426514e+00
1.5284720988e+03,5.2715291132e+00,3.8752798382e+00
2.0508612971e+03,5.3970187583e+00,5.1871375149e+00
2.7473802282e+03,5.6415584569e+00,6.9404813554e+00
3.6760721364e+03,6.0654245463e+00,9.2548871218e+00
4.8949802658e+03,6.7914630062e+00,1.2226350118e+01
6.5201911050e+03,8.0484371201e+00,1.6060271878e+01
8.6677911426e+03,1.0167141935e+01,2.0825990894e+01
1.1569953356e+04,1.3722290236e+01,2.6607689793e+01
1.5400807477e+04,1.9376153726e+01,3.3028969126e+01
2.0508612971e+04,2.7774045297e+01,3.9271932498e+01
2.7357715794e+04,3.9124970135e+01,4.3863032851e+01
3.6528548387e+04,5.2409245978e+01,4.5243147595e+01
4.8717629681e+04,6.5629080883e+01,4.2566320201e+01
6.4911694829e+04,7.6769842251e+01,3.6578091872e+01
8.6619868182e+04,8.4901669508e+01,2.8528668684e+01
1.1076358838e+05,8.9637692079e+01,2.1347667327e+01
1.3341977691e+05,9.1702222939e+01,1.6155200175e+01
1.5985199686e+05,9.3783990212e+01,1.1264846196e+01
1.9761231108e+05,9.5352775479e+01,6.5549464073e+00
2.3537262530e+05,9.5225593941e+01,1.4248051746e+00
2.8823706521e+05,9.4255957910e+01,-4.4385350473e+00
3.4865356796e+05,9.5195629203e+01,-8.1847407972e+00
4.2039816498e+05,9.3938382251e+01,-1.2366171133e+01
5.1102291910e+05,9.1407996625e+01,-1.9397348361e+01
6.2052783034e+05,8.8397860527e+01,-2.3865521105e+01
7.4891289869e+05,8.4481558290e+01,-3.0104811289e+01
9.0750621841e+05,8.0803676120e+01,-3.3862096493e+01
1.1000838209e+06,7.2954622828e+01,-4.0183514679e+01
1.3341977691e+06,6.6433055546e+01,-4.3487129027e+01
1.6174001257e+06,5.6897603362e+01,-4.6981189534e+01
1.9572429537e+06,4.7680108735e+01,-4.7411112518e+01
2.3726064101e+06,3.8264256279e+01,-4.6870769175e+01
2.8748185893e+06,2.9974833302e+01,-4.4008695696e+01
3.4789836168e+06,2.2433400808e+01,-4.0450542232e+01
4.2153097440e+06,1.6409364679e+01,-3.6123844155e+01
5.1102291910e+06,1.1637671490e+01,-3.1498378693e+01
6.1901741777e+06,8.0348247297e+00,-2.6991160850e+01
7.5004570811e+06,5.3424552034e+00,-2.2767183272e+01
9.0863902784e+06,3.3515437395e+00,-1.8902033051e+01
1.1076358838e+07,2.0665856353e+00,-1.6291108023e+01
1.3341977691e+07,1.1066467849e+00,-1.3400532078e+01
1.5985199686e+07,5.7511996527e-01,-1.0915819875e+01
1.9761231108e+07,3.7776334063e-01,-8.5098954248e+00
2.3537262530e+07,3.6292060052e-01,-6.9732364631e+00
2.8823706521e+07,4.1646631562e-01,-5.5964647969e+00
3.4865356796e+07,4.5433350838e-01,-4.5917327897e+00
4.2039816498e+07,4.7622449450e-01,-3.7944572541e+00
5.1102291910e+07,4.8793397947e-01,-3.1159345860e+00
6.2052783034e+07,4.9508621393e-01,-2.5642121003e+00
7.4891289869e+07,4.9630674135e-01,-2.1229711101e+00
9.0750621841e+07,4.9872373051e-01,-1.7512527305e+00
1.1000838209e+08,4.9829016286e-01,-1.4434101121e+00
1.3341977691e+08,5.0015347463e-01,-1.1878572117e+00
1.6174001257e+08,4.9891940043e-01,-9.7943112597e-01
1.9572429537e+08,4.9910820098e-01,-8.0710718423e-01
2.3726064101e+08,4.9779144851e-01,-6.6404196634e-01
2.8748185893e+08,4.9675508040e-01,-5.4542105576e-01
3.4789836168e+08,4.9528706566e-01,-4.4743751849e-01
4.2153097440e+08,4.9309695819e-01,-3.6522845286e-01
